Yelp ID,Business name,Average star rating,Price,review_snippets,mean_compound,pct_positive,pct_neutral,pct_negative
QBlaha1aAf1ogNIj-s1c2Q,Rock Bar Royal,4.0,$$,1,0.964,100.0,0.0,0.0
KJOuKL-Bd7Qg56_P_voJMA,Krumme & Co,3.6,$$,1,0.961,100.0,0.0,0.0
DFw-WQs3G4LY3uKYL_AGAQ,Blaabjerg & Madsen,3.7,$,2,0.957,100.0,0.0,0.0
rNHrCDcohLj35w93__cEmA,Emmerys,3.2,$$$,1,0.954,100.0,0.0,0.0
_N3FGrtmFwbm7JYGb_nGEA,Riccos Kaffebar,4.0,$,1,0.948,100.0,0.0,0.0
OtFptdustjPs_m4_DUWJJg,Naturbageriet Sattva,5.0,$,1,0.936,100.0,0.0,0.0
afAgESTj4NtyyR-9aMys_A,Cafe Ciré,2.8,$$,2,0.934,100.0,0.0,0.0
T-7R_IPoPqfuyYpijLm_nA,Kulinaris,4.1,$$,1,0.93,100.0,0.0,0.0
p3R_eceY-_zKRTNQIKV-Qw,Dalgas Have - Copenhagen Business School,3.7,$$,1,0.929,100.0,0.0,0.0
KQH5Uflt3ymrWqMLq8ZaAA,Cafe Blasen,5.0,$,1,0.921,100.0,0.0,0.0
Sv2GBNC9AyDoD85iQreqKg,GoodLife,5.0,$,1,0.917,100.0,0.0,0.0
sTuXgcAR3wQi04RiDi7VSA,T in the park,3.7,$$,1,0.906,100.0,0.0,0.0
5b1R1l616rn9ukX3-fXFHw,Cafe Skammekrogen,4.5,$,1,0.902,100.0,0.0,0.0
oLMCmpxLjHWLObOZBl0pUQ,Charlottehaven Café,4.1,$$,3,0.901,100.0,0.0,0.0
QWjaJbnVh6vYOX2mcwQsUA,Lagkagehuset,4.6,$$,1,0.896,100.0,0.0,0.0
JdxPHfCcrQJAfX_9g9TBHw,Helges Ost,4.7,$$,1,0.893,100.0,0.0,0.0
w3QdgESjsbs_-RN2HhPAMg,Bageriet Sløjfen,4.0,$$,1,0.888,100.0,0.0,0.0
tjRzDCPbezy7tnmJkQfKuw,ShaBaz - Kaffebar & Køkken,4.5,$,2,0.888,100.0,0.0,0.0
4VuRZcqGQnNmGT4yw81-Mw,Lagkagehuset,4.5,$$,1,0.888,100.0,0.0,0.0
MPnHYl9woNGE_EE2klVyug,Kaffevaerk,4.1,$,3,0.877,100.0,0.0,0.0
xkq58QB2s1cJAeuy1VMPLg,Kontra Coffee,4.6,$$$,2,0.875,100.0,0.0,0.0
O55nVUQGJh7vEV9m_Uz1sQ,Kaffebiksen,4.7,$,2,0.868,100.0,0.0,0.0
AbtCBf_NsqqHzN8LerIOFg,Café Risico,3.8,$$,2,0.868,100.0,0.0,0.0
zYpYci5QeuckMCkhE5kYkw,ShaBaz - Kaffebar & Køkken,4.5,$,3,0.863,100.0,0.0,0.0
h2Ldxok6gPmxxHdyWMjg4A,Creative Space,4.1,$$,2,0.859,100.0,0.0,0.0
DXVPI5719dUUadlOw7pLYg,Designcafeen,3.9,$,1,0.859,100.0,0.0,0.0
Z4hOKEZiZf5DS-vMwEXQUQ,Café Pilos,5.0,$,2,0.858,100.0,0.0,0.0
RLHupnMALQc0sLXVryge1Q,Kafferiet,4.8,$,3,0.856,100.0,0.0,0.0
VFjv-6_N9RaM62_7MZ101Q,Isværket,4.3,$$,1,0.854,100.0,0.0,0.0
2TweHPfeJvFby3QrQlg3KA,Grams Lækkerier,4.7,$,7,0.846,100.0,0.0,0.0
CvQejRIjhHmKzwoJf4ai_A,Olivers Oase,3.6,$$$,1,0.845,100.0,0.0,0.0
gzo5YqJdj7tOzFMVu_ZYRA,Chaplon Tesalon,4.0,$,1,0.844,100.0,0.0,0.0
6j7RoM3vN-0dT0ViPq5SHA,Joe & The Juice,2.7,$,2,0.844,100.0,0.0,0.0
ozA0RJRf8YYEB1uXsqbPWg,Paludan Bog&Café,4.2,$,7,0.843,100.0,0.0,0.0
DHc9V8q8AaW2wmI9jvIamA,Munch,2.9,$$,2,0.841,100.0,0.0,0.0
lWNRq56dJ96JdKj3AjRYJg,Next Door Cafe,4.7,$,7,0.839,100.0,0.0,0.0
GLjb1z73ukEEU-CIDLsKjQ,Voulez Vous?,3.9,$,5,0.838,100.0,0.0,0.0
vJJ48KAAhyLt9Ibtr_k3EA,Wecycle Copenhagen,4.5,$$,1,0.836,100.0,0.0,0.0
vpTuivh1QOUXKGJB5PkMiw,Kaffeværket,3.6,$$,1,0.836,100.0,0.0,0.0
3hFzKI2RMgfL5A9SqoQKZA,Antons Køkken,3.1,$$,4,0.836,100.0,0.0,0.0
T2Jyeg8tSkT1LMADRc_yKw,Kitchenette,3.8,$$$,3,0.835,100.0,0.0,0.0
wn9W-0bLN63VVrsl93b83A,Reinh. Van Hauen,3.2,$$$,2,0.833,100.0,0.0,0.0
J0qXu_y7S_vyv6VI3zzPXw,Lygtens Kro,3.6,$,1,0.833,100.0,0.0,0.0
avUr5VNkjNcshWfurfLWUQ,Lagkagehuset,3.6,$$$$,1,0.832,100.0,0.0,0.0
mqaxsyMOfzXdL_qN0-SZJQ,Emmerys,4.1,$$,7,0.832,100.0,0.0,0.0
mY8JIKJHnzbJBnFoEMgHZQ,Impact Roasters,5.0,$,4,0.832,100.0,0.0,0.0
oXWv80flFjCPIhT-DYU1tA,No 95 En Kaffebar,4.1,$,3,0.831,100.0,0.0,0.0
82ltR16B4y9bGuuOiZDj-A,Risteriet,4.1,$,3,0.826,100.0,0.0,0.0
6XRn5JlxjdS4QlKtno0OpA,Meyers Bageri,4.2,$$,7,0.822,100.0,0.0,0.0
Rtif0YuZduVXiQlLB-DOzg,Hadis Café,3.3,$$,1,0.818,100.0,0.0,0.0
GOUSDHMfV3kbnWNGyOFEfA,Sidecar,4.4,$,7,0.817,100.0,0.0,0.0
H1fOqsIePlWvyrSX3dyeeg,Original Coffee,4.3,$$,7,0.813,100.0,0.0,0.0
94ETPxyFEBhLDlvkt6cnUQ,Thiemers Magasin,4.8,$$,1,0.811,100.0,0.0,0.0
SqorrQHMv3ezqytTtSeGDA,Hønen og Ægget,4.3,$$,4,0.809,100.0,0.0,0.0
eY0pxt2A19QWzs9LSP_RmA,Det Rene Brød,4.1,$$,7,0.809,100.0,0.0,0.0
-QtjG5OSTalI94oiKPNuuQ,Porcelænshaven CBS kantine,3.8,$,2,0.806,100.0,0.0,0.0
cxTmz837SQlvgguXPabjuQ,Natur Tørst,4.7,$,5,0.801,100.0,0.0,0.0
BtlJIvMvVkF7Y_VurhVdIQ,Stempel Bar & Kitchen,3.3,$,7,0.797,100.0,0.0,0.0
7wP5O1LLfjlb7rQtFeJ60g,Frede & Vester's,4.3,$,5,0.793,100.0,0.0,0.0
