Yelp ID,Business name,Category,Average star rating,Review count,Price,Ambience,mean_compound,pct_positive,pct_negative,cluster
t_0nFc2QD_vlw-MYpKQG9A,WarPigs,"Bars, Barbeque, Beer, Wine & Spirits",3.9,237,$$,,0.301,71.4,28.6,1
RWu431JRkV57wcHhB8aDcg,Paté Paté,"Brasseries, Wine Bars",4.0,104,$$,,0.597,85.7,14.3,6
F3CDtajZHnDNTPFVxeB8hg,Madklubben Vesterbro,Scandinavian,4.0,115,$$,cozy,0.603,85.7,14.3,6
9X8evo7osTgJrSbWcUj4Iw,Falernum,"Tapas/Small Plates, Wine Bars",4.3,40,$$,,0.563,71.4,0.0,5
qG3nbT9OsbHfbIAxmyxgkg,Bodil et Spisested,Scandinavian,4.6,22,$,cozy,0.77,100.0,0.0,0
AVyQoQZPJvHcEmm1jpT2Yw,Chicky Grill,Danish,4.7,39,$,,0.734,85.7,0.0,0
P6pt-cDH5gnNaKGaA4mm3g,KöD Vesterbro,Steakhouses,4.4,34,$$$,,0.83,100.0,0.0,2
2nljRohmwgMSAK3DZJgbDQ,Kebabistan,Kebab,4.4,48,$,,0.681,100.0,0.0,0
OqCKxabox2V4QOnsDz96tQ,Restaurant Beyzade,"Halal, Turkish",4.7,6,$,,0.823,100.0,0.0,0
ScHATAnPeqztKx_SgRzEuQ,Osteria 16,Italian,4.0,21,$$,,0.429,85.7,14.3,5
LCqH2Bp8ztUab25PebIm3Q,STUDIO,"Scandinavian, Modern European, Japanese",4.8,44,$$$$,,0.406,71.4,14.3,2
ZlC10jcPNTBd8V0hJp3WTA,Ramen to Bíiru,Ramen,4.0,27,$,cozy,0.584,85.7,0.0,0
k1RXZBCXjmC1NNmyrNPptg,Cofoco,Modern European,4.4,58,$$$,,0.428,85.7,14.3,2
XDzWxMtk5ijLrM3WSlYsCA,Malbeck,"Wine Bars, Argentine, Beer, Wine & Spirits",4.4,25,$$,,0.642,85.7,0.0,3
-8SFaU76VMSZ4Wefxd2biA,Issa,Japanese,4.0,54,$,cozy,0.634,100.0,0.0,0
d1B16iz4Y30ywlfZCMk5QQ,[ba'sta'ds] - Bastards,"Bars, Gastropubs",4.2,15,$$,,0.528,85.7,14.3,5
T3shDWbi_F_v4w2R3734Ng,Grød,Breakfast & Brunch,4.3,13,,,,,,3
8N33CA_d7bOoWIjWBpFOmA,Fontana Di Trevi,Pizza,4.4,19,$,,0.485,85.7,14.3,0
1I1CmrwVKd-nShQumDGUmA,Vinbaren Vesterbro Torv,"Wine Bars, Tapas/Small Plates",4.4,19,$$,cozy,0.789,100.0,0.0,3
4q79IjHziRh3_covXpAjUw,Ibu,"Malaysian, Indonesian",4.0,4,,,,,,5
IpLR4D03X1PcIATox384oA,John's Hotdog Deli,Hot Dogs,4.6,15,$,,0.338,71.4,14.3,0
5cvm39902_hhUdSQQeMmPA,WEDOFOOD - Kødbyen,"Salad, Vegetarian, Caterers",4.1,56,$,,0.418,71.4,14.3,6
LlOGvq8ME_bziFUJcMKuLw,Grøften,"Danish, Scandinavian, Beer Gardens",3.6,46,$$,cozy,0.468,71.4,0.0,5
mOY-EFL-GDD7OuLSj84ruw,Halifax,Burgers,4.0,25,$,,0.642,85.7,0.0,0
kAWO1joO0n9Yx920GqkTfw,Restaurant Tight,"Danish, Scandinavian, Modern European",4.3,183,$$,cozy,0.606,100.0,0.0,1
6jZuKParESrjASictp7t2g,Restaurant Fridas,Danish,3.7,11,$$,cozy,0.567,85.7,14.3,5
X-R5bAQGSvNgsM24nfvVNA,Hallernes Smørrebrød,"Breakfast & Brunch, Scandinavian, Open Sandwiches",4.2,25,,,,,,5
VjI7QQVhpmtUf95tFwx3yQ,MASH Penthouse,"Steakhouses, Burgers",4.1,24,$$$,cozy,0.762,100.0,0.0,2
HjG1KbnNXH6VAregjDdwOA,Je t'aime,French,4.0,12,$,cozy,0.696,100.0,0.0,0
0Xa2J8Dh0qw48URqe-sVyA,Cafe Dyrehaven,"Bars, Breakfast & Brunch, Open Sandwiches",4.1,123,$,,0.183,42.9,42.9,6
z0e0JL8EkkLUWxERYTiXow,Grillen Vesterbro,Burgers,4.0,11,$,,0.599,85.7,14.3,0
U7CZ3o2hbn2cwoV6pk0CSg,Noodle House,Chinese,3.9,16,$,,0.693,100.0,0.0,0
GwbF7jsjO1BzsNit7ifgYg,Café Royal,Scandinavian,4.0,8,$$,,0.765,100.0,0.0,5
