Yelp ID,Business name,Category,cluster
t_0nFc2QD_vlw-MYpKQG9A,WarPigs,Bars  Barbeque  Beer  Wine and Spirits,0
RWu431JRkV57wcHhB8aDcg,Paté Paté,Brasseries  Wine Bars,0
F3CDtajZHnDNTPFVxeB8hg,Madklubben Vesterbro,Scandinavian,2
9X8evo7osTgJrSbWcUj4Iw,Falernum,Tapas/Small Plates  Wine Bars,0
qG3nbT9OsbHfbIAxmyxgkg,Bodil et Spisested,Scandinavian,2
AVyQoQZPJvHcEmm1jpT2Yw,Chicky Grill,Danish,2
P6pt-cDH5gnNaKGaA4mm3g,KöD Vesterbro,Steakhouses,0
2nljRohmwgMSAK3DZJgbDQ,Kebabistan,Kebab,0
OqCKxabox2V4QOnsDz96tQ,Restaurant Beyzade,Halal  Turkish,2
ScHATAnPeqztKx_SgRzEuQ,Osteria 16,Italian,2
LCqH2Bp8ztUab25PebIm3Q,STUDIO,Scandinavian  Modern European  Japanese,2
ZlC10jcPNTBd8V0hJp3WTA,Ramen to Bíiru,Ramen,0
k1RXZBCXjmC1NNmyrNPptg,Cofoco,Modern European,2
XDzWxMtk5ijLrM3WSlYsCA,Malbeck,Wine Bars  Argentine  Beer  Wine and Spirits,0
-8SFaU76VMSZ4Wefxd2biA,Issa,Japanese,2
d1B16iz4Y30ywlfZCMk5QQ,[ba'sta'ds] - Bastards,Bars  Gastropubs,0
T3shDWbi_F_v4w2R3734Ng,Grød,Breakfast and Brunch,0
8N33CA_d7bOoWIjWBpFOmA,Fontana Di Trevi,Pizza,0
1I1CmrwVKd-nShQumDGUmA,Vinbaren Vesterbro Torv,Wine Bars  Tapas/Small Plates,0
4q79IjHziRh3_covXpAjUw,Ibu,Malaysian  Indonesian,2
IpLR4D03X1PcIATox384oA,John's Hotdog Deli,Hot Dogs,0
5cvm39902_hhUdSQQeMmPA,WEDOFOOD - Kødbyen,Salad  Vegetarian  Caterers,0
LlOGvq8ME_bziFUJcMKuLw,Grøften,Danish  Scandinavian  Beer Gardens,0
mOY-EFL-GDD7OuLSj84ruw,Halifax,Burgers,0
kAWO1joO0n9Yx920GqkTfw,Restaurant Tight,Danish  Scandinavian  Modern European,2
6jZuKParESrjASictp7t2g,Restaurant Fridas,Danish,2
X-R5bAQGSvNgsM24nfvVNA,Hallernes Smørrebrød,Breakfast and Brunch  Scandinavian  Open Sandwiches,0
VjI7QQVhpmtUf95tFwx3yQ,MASH Penthouse,Steakhouses  Burgers,0
HjG1KbnNXH6VAregjDdwOA,Je t'aime,French,2
0Xa2J8Dh0qw48URqe-sVyA,Cafe Dyrehaven,Bars  Breakfast and Brunch  Open Sandwiches,0
z0e0JL8EkkLUWxERYTiXow,Grillen Vesterbro,Burgers,0
U7CZ3o2hbn2cwoV6pk0CSg,Noodle House,Chinese,2
GwbF7jsjO1BzsNit7ifgYg,Café Royal,Scandinavian,2
jdVXlY3bD8LFp8QlW7wHww,Pony,Modern European  Scandinavian,2
RMSIajJMvhfIs5AJIIX2AQ,Magasasa Dim Sum & Cocktails,Cocktail Bars  Dim Sum,0
6i68LsbMZCcN_8WFLA7Qlg,Ristorante Buono,Italian,2
